,playlist_title,url,count,video_title,views,publish_date,video_length,author,keywords,video_id,video_captions
10,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,"If else in C Programming | Syntax, Examples, Full Concept | Control statement",1158,12-06-2022 00:00,565,Gate Smashers,"['if else in c', 'if else control statements', 'C if else Statement', 'if-else statement in C', 'if statement in C', 'c conditionals', 'c tutorials hindi', 'if else ladder c', 'c if else', 'if else logic in c', 'c tutorial in hindi', 'learn c programming', 'learn coding in c', 'learn programming in c', 'learn program c', 'how to code', 'coding in hindi', 'c coding', 'c coding in hindi', 'programming in c in hindi', 'c lectures', 'What are examples control statement?', 'control and conditional statements']",TrbPPCy0KXw,{}
11,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,While loop in C Programming with examples,1450,10-06-2022 00:00,434,Gate Smashers,"['C Language', 'While Loop in C', 'Hands on C Language Training', 'C Language Demo', 'Online C Language Training', 'C Language Tutorial Videos', 'C Language Overview', 'C Language Interview Questions', 'for', 'while', 'for loop', 'for and while loops', 'for loop syntax', 'while loop syntax', 'for loop explanation', 'for loop example', 'while loop example', 'difference between for and while loop', 'loops in c', 'for loop in c language', 'What is while loop give an example?', 'What is the syntax of while loop statement?']",A8oirIz1qPs,{}
12,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,do-while loop in C Programming with example,1384,12-06-2022 00:00,298,Gate Smashers,"['do while', 'do while loop', 'do while in c', 'do while loop in c', 'do while loop in c programming', 'do while example', 'example of do while loop', 'difference between do while and while loop', 'difference between while loop and do while loop', 'do while statement', 'syntax of do while loop', 'use of do while loop', 'do while loop explanation', 'while loop', 'dowhile', 'c language', 'loops', 'loops in c', 'c programming for gate', 'When we use do-while?', 'Is do while better than while?', 'What is while and do-while?']",xe4JS3Sjqws,{}
13,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,Introduction to Storage Classes in C &  its types | Programming in C Language,78551,15-02-2019 00:00,210,Gate Smashers,"['storage classes in c', 'storage classes in c definition', 'storage classes definition', 'storage classes in c pdf', 'storage classes in c language in hindi', 'storage class types', 'storage class in c', 'storage class definition', 'storage class variables in c', 'storage class and its types', 'storage class and scope in c', 'create a storage class', 'c storage classes pdf', 'c programming gate', 'gate 2022', 'Operators in C', 'Online C Laguage Training', 'C Language Overview', 'Storage Classes']",jaiKkW2j2Wo,{}
14,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,Auto Storage class explanation with best examples | C Programming,43821,16-02-2019 00:00,982,Gate Smashers,"['storage classes', 'storage classes in c', 'gate 2020 c language', 'storage classes in c nta net', 'storage classes in c with example', 'gatesmashers', 'Storage Classes', 'storage classes in c tutorial', 'c storage classes with examples', 'c programming storage classes', 'c programming tutorial storage class', 'types of storage classes with examples', 'types of storage classes in c', 'static storage class in c with example', 'static storage class in c programming', 'external storage class in c']",78tHLSciXRk,{}
15,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,Static Storage class explanation with best examples | C Programming,55354,17-02-2019 00:00,773,Gate Smashers,"['storage classes in c in hindi', 'storage classes in c', 'c programming', 'static storage class', 'storage class ppt', 'storage class pdf', 'storage classes in c tutorial', 'storage classes available in c language', 'c storage classes with examples', 'c programming storage classes', 'types of storage classes with examples', 'types of storage classes in c', 'static storage class in c', 'static storage class in c with example', 'static storage class in c programming', 'external storage class in c']",mMcyXjxv6CU,{}
16,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,Static Scoping vs Dynamic Scoping in C language with Example,30294,16-01-2019 00:00,819,Gate Smashers,"['dynamic scoping in c', 'static scoping', 'static scoping vs dynamic scoping', 'gate question on c language', 'scope in c language', 'define scoping in c language', 'scoping in c languafe pdf', 'scoping in c language ppt', 'static and dynamic scoping', 'static and dynamic scoping in c', 'c programming static and dynamic', 'c language', 'c language for beginners', 'scoping', 'static', 'static scoping in c', 'static scoping example', 'example of static scoping', 'need of scoping', 'scoping in c']",o4KNQYvbUAw,"{'a.en': <Caption lang=""English (auto-generated)"" code=""a.en"">}"
17,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,How Pointer Works?? Simplest Example | C Programming,11389,05-01-2022 00:00,419,Gate Smashers,"['pointers in c', 'pointers in c programming', 'pointers in interview', 'pointers interview', 'C Language', 'Pointers in C', 'Hands on C Language Training', 'C Language Demo', 'Online C Language Training', 'pointer', 'pointer in c', 'pointer definition', 'pointer example in c', 'pointer example', 'c pointers', 'c programming', 'c language', 'c language tutorial', 'program', 'pointers', 'language', 'Coding Interview', 'code', 'computer', 'c++', 'programming', 'basics', 'fundamentals', 'fundamental', 'classes', 'degree', 'course', 'career', 'software']",cVLw5HeL3JM,{}
18,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,Declaration examples in C Programming,10543,15-01-2022 00:00,669,Gate Smashers,"['functions', 'functions in c', 'function declaration', 'function declaration and definition', 'function declaration in c language', 'declaration of function in c', 'c programming', 'c programming lectures', 'c programming functions', 'c programming for gate', 'gate c programming', 'c programming for interview', 'function definition', 'how to define function', 'how to define function in c', 'functions in c language', 'introduction to function in c', 'c functions programs', 'c function with example program']",3QFFZh-qJRs,{}
19,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,Introduction to Pointers | C Language | Basics of Pointers in Hindi,52622,04-07-2019 00:00,589,Gate Smashers,"['pointers in c', 'pointers in c programming', 'pointers in c in hindi', 'pointers and arrays', 'pointers in c language', 'pointers in data structure', 'pointers and functions', 'pointers advantages', 'pointers basics', 'pointers basics in c', 'pointer in c hindi', 'pointer hindi video tutorial', 'lecture on c pointers hindi', 'what is pointers hindi', 'what is c pointers in hindi', 'pointers tutorial in hindi', 'pointers in urdu', 'Pointers in C', 'Hands on C Language Training', 'C Language Demo']",NQ3HcUfK9Zg,{}
